IBOV - Carteira do Dia 16/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.482.105.837;3,244;3,244;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,415;1,415;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;332.825.777;0,141;2,071;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,602;2,071;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,328;2,071;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;835.221.269;0,884;3,094;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,710;3,094;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;331.799.687;0,193;3,094;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,084;3,094;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,223;3,094;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON  ATZ;4.394.245.879;2,407;2,407;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.217.892;0,707;1,042;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,274;1,042;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,061;1,042;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,639;0,639;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,173;0,173;
Consumo Cíclico / Comércio;ARZZ3;AREZZO CO;ON  ED  NM;62.305.891;0,158;1,224;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,151;1,224;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;951.452.770;0,615;1,224;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,237;1,224;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;314.729.428;0,063;1,224;
